Price,Close,High,Low,Open,Volume,returns,volatility,regime
2010-01-19,87.07771301269531,87.13068896842462,85.9652121684335,85.98792109855702,139172700,0.012495527870118206,0.007167919069643502,2
2010-01-20,86.19226837158203,86.61607608179727,85.50358084248224,86.48742099461722,216490200,-0.010168441619317514,0.0080403855926097,2
2010-01-21,84.53485870361328,86.4798413983842,84.42890678825194,86.21496160998083,344859600,-0.01922921509413722,0.010119497338980068,1
2010-01-22,82.65038299560547,84.5650919951501,82.55956463603513,84.15641803799906,345942400,-0.022292291451210144,0.011730483952413048,1
2010-01-25,83.07423400878906,83.55859307313456,82.80179033514307,83.40722906116825,186937500,0.005128240158380537,0.011874954455353458,2
2010-01-26,82.72608947753906,83.60398325568588,82.52175531825071,82.74879263146605,211168800,-0.004190764265285529,0.011712328421665872,2
2010-01-27,83.11964416503906,83.30884484513396,81.98444008446965,82.62015159809418,271863600,0.004757322508358808,0.01194736127927706,2
2010-01-28,82.16609191894531,83.43752104197137,81.66660499951436,83.39211471491801,316104000,-0.011472044372572321,0.011409084797877325,2
2010-01-29,81.27303314208984,83.0969302332193,81.14437808205342,82.52175862360038,310677600,-0.010868945522399254,0.011148942092160604,2
2010-02-01,82.53691101074219,82.54448065540066,81.35630049769453,81.84822346944676,187865000,0.01555101144610549,0.013004223283990802,0
2010-02-02,83.53588104248047,83.69480891869034,82.40067697759868,82.68826570269447,216327900,0.012103312560464818,0.012949322351479341,0
2010-02-03,83.11964416503906,83.6115670880751,82.87746752547545,83.15748083669011,172730700,-0.00498273163875218,0.012780621679242102,2
2010-02-04,80.55408477783203,82.5142010855291,80.53894548975634,82.47636441323314,356715700,-0.030865861048598342,0.014745564319512173,1
2010-02-05,80.7205810546875,80.8870728033189,79.14643000806426,80.64489616337275,493585800,0.0020668880704766135,0.013476303651638162,2
2010-02-08,80.13784790039062,81.22764577829,80.0773022907413,80.78112912456012,224166900,-0.007219139737139391,0.013286707660605409,2
2010-02-09,81.1443862915039,81.84821303236603,80.42542026325538,81.07627104615783,337820500,0.012560087617580873,0.014215112338105766,0
2010-02-10,80.98542785644531,81.4319385087578,80.30430452974949,81.01570064584782,240511500,-0.0019589578814183106,0.014026338623919958,2
2010-02-11,81.83306884765625,81.92388724470051,80.41028193763907,80.87950166144869,223591600,0.010466586565591296,0.014183429396230398,0
2010-02-12,81.76496124267578,81.8103675552591,80.60705408023173,80.97031612879064,304622100,-0.0008322748485366516,0.013700490011226602,2
2010-02-16,83.05154418945312,83.13479296591858,81.59848408487957,82.38555975167715,159317500,0.01573513797626358,0.013722788719574656,0
2010-02-17,83.44506072998047,83.5585822808062,83.051520123644,83.45262459914184,168845100,0.004738220635966517,0.013232070482719589,2
2010-02-18,83.93699645996094,84.11105786047325,83.27857598345923,83.30884878658024,193708600,0.00589532472835419,0.013226734736971182,2
2010-02-19,84.11105346679688,84.43647886591513,83.5207482716397,83.71751859467426,222684900,0.002073662558547351,0.007054363849224811,2
2010-02-22,84.12617492675781,84.44403061464544,83.87642869744099,84.42132746178851,132346900,0.00017977970002358568,0.007146934860047889,2
2010-02-23,83.1044921875,84.1564473462826,82.88501873922904,83.8991372321381,207497000,-0.012144647491072913,0.008121826572330595,2
2010-02-24,83.86888122558594,84.0051059526833,83.14235127238229,83.35425512032333,176350700,0.009197926826402192,0.007775168408314342,2
2010-02-25,83.75536346435547,83.81590907336117,82.44609786980271,82.6731352426535,259634700,-0.0013535146716114888,0.007731599128454432,2
2010-02-26,83.80834197998047,84.0959307445386,83.33155828592754,83.83104514056195,173589300,0.0006325387823975515,0.007348195770280699,2
2010-03-01,84.67865753173828,84.76190629447895,84.13375863887089,84.15646179708259,147709700,0.010384593361430605,0.007647905373419939,2
2010-03-02,84.91326141357422,85.32193556821697,84.7619031817568,85.04192226196011,160992400,0.0027705196170357826,0.0063361272437557235,2
2010-03-03,84.98896789550781,85.49602445225874,84.7770582336012,85.132756520081,150785000,0.0008915743038635515,0.0062839863589727015,2
2010-03-04,85.24627685546875,85.36736808906225,84.78462663180217,85.10248245906341,135770400,0.003027557179859919,0.006142853673222902,2
2010-03-05,86.46468353271484,86.53279298457319,85.5943595239861,85.79869942745057,176118800,0.014292784649256207,0.007351451232802864,2
2010-03-08,86.47980499267578,86.66900558673636,86.32844682700488,86.47224112615298,114631200,0.0001748859689658655,0.007351644302820608,2
2010-03-09,86.62361907958984,87.02472350679308,86.17710834710178,86.22251465238661,154556700,0.0016629788529962664,0.005224437112100682,2
2010-03-10,87.00959777832031,87.24420474186836,86.58579016057013,86.66146926746184,186088800,0.004455813585620749,0.004923733305170183,2
2010-03-11,87.37287139892578,87.39558033055887,86.54038956472111,86.80526936097534,160791100,0.004175098263653698,0.004593305984041866,2
2010-03-12,87.38043212890625,87.7664030920437,87.13825551504364,87.7512638058327,162074800,8.65340678337656e-05,0.004644008000239427,2
2010-03-15,87.40312957763672,87.46367517063577,86.72957573387252,87.22906821519638,146816800,0.0002597543657942847,0.004229120444377694,2
2010-03-16,88.09939575195312,88.18263872811004,87.40313295346293,87.64530956086733,168673000,0.007966146952414821,0.00448468763495524,2
